SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg
S51,3,2,Control,D,cont.D,9,1,CDBS3,5/7/22,0-15cm,0.272,78.6,0.2,15.7,15.8,1.74,0.19,17.4,1.9,7.07,2.17,15.2,8,18,152,1.2
S52,4,2,Rainout,D,rain.D,9,1,RDBS3,5/7/22,0-15cm,0.063,94.1,1.8,7.8,9.6,1.76,0.191,17.6,1.9,6.8,1.95,12.7,9.6,16.2,127,1.5
S53,5,3,Control,K,cont.K,9,1,CKBS3,5/7/22,0-15cm,0.277,78.3,1.5,8.7,10.2,1.41,0.157,14.1,1.6,6.04,1.02,10.7,9.2,8.5,107,1.4
S54,6,3,Rainout,K,rain.K,9,1,RKBS3,5/7/22,0-15cm,0.062,94.2,13.5,30.5,44,1.45,0.167,14.5,1.7,6.24,1.55,12,7,12.9,120,1.1
S55,7,4,Control,K,cont.K,10,2,CKBS3,5/7/22,0-15cm,0.276,78.4,1,8.1,9.1,1.48,0.165,14.8,1.7,6.19,0.92,10.9,6.4,7.6,109,1
S56,8,4,Rainout,K,rain.K,10,2,RKBS3,5/7/22,0-15cm,0.047,95.5,11.8,23.5,35.3,1.51,0.168,15.1,1.7,6.26,2.02,13.6,10,16.8,136,1.6
S57,9,5,Control,M,cont.M,10,2,CMBS3,5/7/22,0-15cm,0.253,79.8,1.6,5.1,6.7,1.23,0.134,12.3,1.3,6.08,0.63,15.5,5.3,5.2,155,0.8
S58,10,5,Rainout,M,rain.M,10,2,RMBS3,5/7/22,0-15cm,0.056,94.7,5.1,13.3,18.4,1.17,0.133,11.7,1.3,6.12,0.77,14.6,6.1,6.4,146,0.9
S59,11,6,Control,D,cont.D,10,2,CDBS3,5/7/22,0-15cm,0.262,79.2,0.1,13.1,13.1,1.63,0.179,16.3,1.8,6.76,1.57,13,7.4,13,130,1.1
S60,12,6,Rainout,D,rain.D,10,2,RDBS3,5/7/22,0-15cm,0.063,94.1,0.7,3.5,4.2,1.63,0.182,16.3,1.8,6.88,1.55,12.6,7,12.9,126,1.1
