,nr,plot,block,irrigation,fertilization,type,rep,sampling.date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil,AOA_logDWS,AOB_logDWS,ComA_logDWS,ComB_logDWS,Tot_logDWS,AOA_16.arc.ratio,AOB_16.arc.ratio,ComA_16.arc.ratio,ComB_16.arc.ratio,AOA_AOB.arc.ratio,ComA_ComB.arc.ratio
S49,49,1,1,control,M,BS,1,Jul 5th,cont.M,CMBS3,10000,4.18E+08,2.11,10100,4.22E+08,2.13,0.99,99.16659274,1430,59800000,0.301,408,1.70E+07,0.086,3.51,351.0154938,475000,1.98E+10,8.621176282,8.625312451,7.776701184,7.230448921,10.29666519,0.145774128,0.146468331,0.054891027,0.029329962,0.099663652,0.188463619
S50,50,2,1,rainout,M,BS,1,Jul 5th,rain.M,RMBS3,7860,2.91E+08,2.09,10700,3.98E+08,2.85,0.73,73.16165776,1320,48800000,0.35,219,8110000,0.058,6.02,601.7669377,376000,1.40E+10,8.463892989,8.599883072,7.688419822,6.909020854,10.14612804,0.145076699,0.169631785,0.059195363,0.024085518,0.085544332,0.247887811
S51,51,3,2,control,D,BS,1,Jul 5th,cont.D,CDBS3,8050,4.22E+08,2.2,6300,3.30E+08,1.73,1.28,127.6816934,1350,70600000,0.369,312,16400000,0.085,4.32,431.6032157,365000,1.91E+10,8.625312451,8.51851394,7.848804701,7.214843848,10.28103337,0.14887328,0.131911691,0.060782791,0.029158891,0.113379845,0.209372451
S52,52,4,2,rainout,D,BS,1,Jul 5th,rain.D,RDBS3,8700,4.23E+08,2.18,7040,3.42E+08,1.76,1.23,123.4556099,1820,88300000,0.455,306,14900000,0.077,5.94,593.9543086,399000,1.94E+10,8.626340367,8.534026106,7.945960704,7.173186268,10.28780173,0.148190018,0.133057257,0.067504945,0.027752436,0.111133989,0.246200864
S53,53,5,3,control,K,BS,1,Jul 5th,cont.K,CKBS3,7280,2.86E+08,2.03,9030,3.55E+08,2.52,0.81,80.616888,1300,51300000,0.364,230,9040000,0.064,5.67,567.1482469,359000,1.41E+10,8.456366033,8.550228353,7.710117365,6.95616843,10.14921911,0.142964577,0.159419484,0.060369074,0.025300921,0.090121945,0.240427259
S54,54,6,3,rainout,K,BS,1,Jul 5th,rain.K,RKBS3,9050,4.30E+08,2.96,6880,3.27E+08,2.25,1.32,131.5305825,1190,56600000,0.39,189,8960000,0.062,6.31,631.301358,305000,1.45E+10,8.633468456,8.514547753,7.752816431,6.95230801,10.161368,0.172906777,0.150568273,0.062490644,0.024902373,0.115145527,0.253916847
S55,55,7,4,control,K,BS,2,Jul 5th,cont.K,CKBS3,6420,3.70E+08,2.11,7170,4.13E+08,2.35,0.9,89.60824612,1970,1.13E+08,0.646,206,11900000,0.068,9.52,952.1431368,304000,1.75E+10,8.568201724,8.615950052,8.053078443,7.075546961,10.24303805,0.145774128,0.15390395,0.080460914,0.026079766,0.095011212,0.313662992
S56,56,8,4,rainout,K,BS,2,Jul 5th,rain.K,RKBS3,5200,1.82E+08,1.11,5720,2.01E+08,1.22,0.91,90.8862564,2200,77300000,0.47,255,8970000,0.054,8.62,861.9811882,469000,1.65E+10,8.260071388,8.303196057,7.888179494,6.952792443,10.21748394,0.105552427,0.110679441,0.068610363,0.023239992,0.095539197,0.297988933
S57,57,9,5,control,M,BS,2,Jul 5th,cont.M,CMBS3,5680,2.03E+08,1.61,9810,3.51E+08,2.78,0.58,57.93048042,2270,81300000,0.644,234,8360000,0.066,9.72,972.0430395,353000,1.26E+10,8.307496038,8.545307116,7.910090546,6.922206277,10.10037055,0.127228743,0.167515678,0.080335996,0.025693292,0.076231543,0.317054414
S58,58,10,5,rainout,M,BS,2,Jul 5th,rain.M,RMBS3,5710,1.66E+08,1.89,6970,2.03E+08,2.31,0.82,81.9700123,1740,50700000,0.577,232,6760000,0.077,7.5,750.1707432,302000,8.79E+09,8.220108088,8.307496038,7.705007959,6.829946696,9.943988875,0.137914049,0.152578158,0.076033755,0.027752436,0.090678067,0.277405516
S59,59,11,6,control,D,BS,2,Jul 5th,cont.D,CDBS3,10300,4.89E+08,3.32,5530,2.64E+08,1.79,1.85,185.4865459,2380,1.13E+08,0.769,376,17900000,0.122,6.33,632.8532039,309000,1.47E+10,8.689308859,8.421603927,8.053078443,7.252853031,10.16731733,0.18323226,0.134193274,0.087805429,0.034935604,0.136437614,0.254327825
S60,60,12,6,rainout,D,BS,2,Jul 5th,rain.D,RDBS3,12300,6.71E+08,3.53,7240,3.94E+08,2.07,1.7,170.158499,2520,1.37E+08,0.721,289,15700000,0.083,8.71,870.883089,349000,1.90E+10,8.82672252,8.595496222,8.136720567,7.195899652,10.2787536,0.189006257,0.144375996,0.085014087,0.028813707,0.130756325,0.299588532
S61,61,13,7,control,D,BS,3,Jul 5th,cont.D,CDBS3,7180,3.86E+08,NA,5280,2.84E+08,NA,1.36,136.0758735,1440,77200000,NA,179,9600000,NA,8.04,804.2120363,NA,NA,8.586587305,8.45331834,7.8876173,6.982271233,NA,NA,NA,NA,NA,0.116885005,0.287492923
S62,62,14,7,rainout,D,BS,3,Jul 5th,rain.D,RDBS3,8840,4.79E+08,1.51,8450,4.59E+08,1.45,1.05,104.5168828,1240,67400000,0.212,447,24300000,0.076,2.78,277.7854728,584000,3.17E+10,8.680335513,8.661812686,7.828659897,7.385606274,10.50105926,0.123193431,0.120708866,0.046059742,0.027571591,0.102649682,0.167515678
S63,63,15,8,control,M,BS,3,Jul 5th,cont.M,CMBS3,4760,1.28E+08,1.46,6810,1.84E+08,2.09,0.7,69.87920688,1510,40700000,0.463,216,5820000,0.066,6.98,697.9376145,325000,8.78E+09,8.10720997,8.264817823,7.609594409,6.764922985,9.943494516,0.121126429,0.145076699,0.06809672,0.025693292,0.083763922,0.267371137
S64,64,16,8,rainout,M,BS,3,Jul 5th,rain.M,RMBS3,3360,7.50E+07,1.31,5570,1.25E+08,2.17,0.6,60.23990463,1070,2.40E+07,0.418,168,3760000,0.066,6.38,637.7107955,256000,5.73E+09,7.875061263,8.096910013,7.380211242,6.575187845,9.758154622,0.11470661,0.147847238,0.064698046,0.025693292,0.077537336,0.255352629
S65,65,17,9,control,K,BS,3,Jul 5th,cont.K,CKBS3,5810,2.37E+08,1.8,7560,3.09E+08,2.35,0.77,76.86130783,1350,55100000,0.419,224,9160000,0.07,6.02,601.6434014,322000,1.32E+10,8.374748346,8.489958479,7.741151599,6.961895474,10.12057393,0.134569866,0.15390395,0.064775498,0.026460601,0.087862648,0.247887811
