,GWC_g_g,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,pH,K_mgkg,Mg_mgkg,P_mgkg,AOB_Richness,AOB_Shannon,AOB_InvSimpson,AOA_Richness,AOA_Shannon,AOA_InvSimpson,COM_Richness,COM_Shannon,COM_InvSimpson
S100,0.281,78.1,1.3,21.4,22.7,1.75,0.193,6.94,19.3,137,1.3,48,3.117370441,13.7271482,92,3.968360399,38.42388085,97,3.539446388,21.06592723
S101,0.317,75.9,1.7,12,13.7,1.41,0.16,6.21,12.3,117,1.7,107,3.910712067,26.89451808,63,3.189320067,14.72583922,45,2.519891916,7.457116355
S102,0.276,78.4,1.4,14.8,16.2,1.5,0.168,6.27,12.8,126,1.7,68,3.527758755,17.37340381,67,3.427164333,18.49482344,43,2.812825336,8.705864536
S103,0.314,76.1,3.4,9,12.4,1.55,0.167,6.39,13.7,117,1.7,64,3.254866472,12.82960719,71,3.308005961,13.62587503,55,2.712936662,8.412399325
S104,0.267,78.9,1.1,7.6,8.7,1.41,0.161,6.28,9.5,124,1.2,61,3.383591551,16.84111077,57,3.018606653,9.757296598,33,2.166893487,4.521086012
S105,0.263,79.2,1.9,8.4,10.3,1.25,0.137,6.38,9.2,157,0.8,79,3.703960388,25.34425117,58,2.990903804,10.97697144,53,2.428578067,6.721522177
S106,0.244,80.4,1.4,9.5,10.9,1.22,0.138,6.13,7.7,153,1.3,81,3.666437621,23.41535831,58,3.102720829,13.23146236,53,2.552636679,6.908060177
S107,0.299,77,0,13.7,13.7,1.6,0.178,6.84,16.9,133,1.8,58,3.060806629,9.566718666,91,3.836024927,31.32982005,83,3.570066602,21.78963812
S108,0.314,76.1,0,16.8,16.8,1.66,0.187,6.94,16.9,129,1.8,40,3.046677785,14.3099293,108,4.201627888,51.22094013,73,3.558900746,22.65750095
S109,0.301,76.9,0.1,14.1,14.2,1.71,0.194,6.86,12,131,1.1,55,3.082275196,12.24554815,102,4.001485986,38.46736454,99,3.645258902,24.00902045
S110,0.299,77,0.1,17.8,17.9,1.9,0.211,6.94,16.8,145,2.2,56,3.056863498,10.47431011,80,3.864296969,33.60664982,70,3.326980297,18.09443047
S111,0.256,79.6,2.2,13.5,15.7,1.23,0.141,5.93,12.3,144,0.6,81,3.434421877,13.87877048,58,2.979398046,10.46628872,33,2.286789055,6.783785412
S112,0.246,80.3,2.3,9.7,12,1.28,0.141,5.79,11.5,146,0.9,75,3.136592934,10.08247448,49,2.86321179,10.43481326,25,1.988627776,5.114174896
S113,0.286,77.8,3.9,10.2,14,1.51,0.166,6.14,18.3,126,1.7,78,3.2732021,11.0437038,53,3.017314084,11.3175129,33,2.309167786,6.639454434
S114,0.299,77,3.1,10.6,13.7,1.4,0.16,5.99,12,118,1.5,80,3.447952683,15.80129216,50,2.960221605,11.36671254,25,2.162326568,5.472260879
S115,0.261,79.3,0.8,9.4,10.1,1.39,0.159,6.2,8.1,111,1.3,98,3.644627137,17.7566931,94,3.889633335,31.59841107,80,3.303310544,15.28035127
S116,0.247,80.2,1.4,11.6,13,1.32,0.15,6.31,12.6,112,1,118,3.818803257,20.54559092,84,3.555102369,17.07408346,65,2.918900021,9.653063146
S117,0.352,74,0.1,17,17.1,2.01,0.222,6.78,10.7,169,1.1,94,3.793205529,27.39663277,85,3.82074998,30.7597741,73,3.334470173,16.67103323
S118,0.315,76,0.1,15.4,15.4,2.18,0.247,6.78,8.5,184,1.2,57,3.154733902,15.22853119,87,3.851132828,30.5672974,54,2.960667493,10.99506717
S119,0.285,77.8,0.4,8.8,9.2,1.74,0.204,6.12,6.4,203,0.9,100,3.866913572,29.66971152,71,3.630609823,24.74090848,57,2.642503972,6.587691114
S120,0.275,78.4,0.8,10.2,10.9,1.82,0.209,6.23,6.2,190,0.8,69,3.568793238,23.25368573,95,3.959902861,35.47942399,58,2.792968725,7.942589535
