SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg,log10NH4,logNH4,logNO3,mean.N2Oflux,N2Oflux.cbrt
S44,20,10,Rainout,CONFYM,rain.K,8,4,RKBS2,Jun,0-15cm,0.073,93.2,19.7,39.2,58.9,1.36,0.157,13.6,1.6,6.31,1.7,11.5,10.1,14.1,115,1.6,1.315970345,3.0301337,3.668676747,0.0452,0.356215499
S45,21,11,Control,BIODYN,cont.D,8,4,CDBS2,Jun,0-15cm,0.211,82.6,0.2,13.3,13.5,1.86,0.209,18.6,2.1,6.8,0.83,17,4.1,6.9,170,0.6,0.079181246,0.182321557,2.587764035,4e-04,0.07368063
S46,22,11,Rainout,BIODYN,rain.D,8,4,RDBS2,Jun,0-15cm,0.121,89.2,0.7,11.5,12.2,2.2,0.246,22,2.5,6.61,1.15,17.3,7.3,9.5,173,1.1,0.230448921,0.530628251,2.442347035,0.0184,0.264001224
S47,23,12,Control,CONMIN,cont.M,8,4,CMBS2,Jun,0-15cm,0.098,91.1,2.8,7.8,10.6,1.75,0.201,17.5,2,6.11,0.64,18.7,6.4,5.3,187,1,0.579783597,1.335001067,2.054123734,0.1622,0.545360421
S48,24,12,Rainout,CONMIN,rain.M,8,4,RMBS2,Jun,0-15cm,0.108,90.2,21,61.5,82.5,1.76,0.215,17.6,2.2,6.28,1.74,19.5,7.2,14.4,195,1.1,1.342422681,3.091042453,4.119037175,0.016,0.25198421
S49,1,1,Control,CONMIN,cont.M,9,1,CMBS3,Jul5,0-15cm,0.263,79.2,0.4,8.1,8.5,1.42,0.158,14.2,1.6,6.53,1.16,14.9,5.4,9.6,149,0.8,0.146128036,0.336472237,2.091864062,0.1488,0.529908611
S50,2,1,Rainout,CONMIN,rain.M,9,1,RMBS3,Jul5,0-15cm,0.054,94.9,7.1,14.2,21.3,1.47,0.163,14.7,1.6,6.11,1.25,16.1,10.6,10.4,161,1.6,0.908485019,2.091864062,2.653241965,0.0512,0.371327107
S51,3,2,Control,BIODYN,cont.D,9,1,CDBS3,Jul5,0-15cm,0.272,78.6,0.2,15.7,15.8,1.74,0.19,17.4,1.9,7.07,2.17,15.2,8,18,152,1.2,0.079181246,0.182321557,2.753660712,0.0252,0.293179442
S52,4,2,Rainout,BIODYN,rain.D,9,1,RDBS3,Jul5,0-15cm,0.063,94.1,1.8,7.8,9.6,1.76,0.191,17.6,1.9,6.8,1.95,12.7,9.6,16.2,127,1.5,0.447158031,1.029619417,2.054123734,0.0194,0.268699738
S53,5,3,Control,CONFYM,cont.K,9,1,CKBS3,Jul5,0-15cm,0.277,78.3,1.5,8.7,10.2,1.41,0.157,14.1,1.6,6.04,1.02,10.7,9.2,8.5,107,1.4,0.397940009,0.916290732,2.163323026,0.0446,0.354632298
S54,6,3,Rainout,CONFYM,rain.K,9,1,RKBS3,Jul5,0-15cm,0.062,94.2,13.5,30.5,44,1.45,0.167,14.5,1.7,6.24,1.55,12,7,12.9,120,1.1,1.161368002,2.674148649,3.417726684,0.0536,0.377040726
S55,7,4,Control,CONFYM,cont.K,10,2,CKBS3,Jul5,0-15cm,0.276,78.4,1,8.1,9.1,1.48,0.165,14.8,1.7,6.19,0.92,10.9,6.4,7.6,109,1,0.301029996,0.693147181,2.091864062,0.0196,0.26961995
S56,8,4,Rainout,CONFYM,rain.K,10,2,RKBS3,Jul5,0-15cm,0.047,95.5,11.8,23.5,35.3,1.51,0.168,15.1,1.7,6.26,2.02,13.6,10,16.8,136,1.6,1.10720997,2.549445171,3.157000421,0.0476,0.36241179
S57,9,5,Control,CONMIN,cont.M,10,2,CMBS3,Jul5,0-15cm,0.253,79.8,1.6,5.1,6.7,1.23,0.134,12.3,1.3,6.08,0.63,15.5,5.3,5.2,155,0.8,0.414973348,0.955511445,1.62924054,0.0496,0.36741811
S58,10,5,Rainout,CONMIN,rain.M,10,2,RMBS3,Jul5,0-15cm,0.056,94.7,5.1,13.3,18.4,1.17,0.133,11.7,1.3,6.12,0.77,14.6,6.1,6.4,146,0.9,0.785329835,1.808288771,2.587764035,-0.0122,-0.230207752
S59,11,6,Control,BIODYN,cont.D,10,2,CDBS3,Jul5,0-15cm,0.262,79.2,0.1,13.1,13.1,1.63,0.179,16.3,1.8,6.76,1.57,13,7.4,13,130,1.1,0.041392685,0.09531018,2.57261223,0.0232,0.285208629
S60,12,6,Rainout,BIODYN,rain.D,10,2,RDBS3,Jul5,0-15cm,0.063,94.1,0.7,3.5,4.2,1.63,0.182,16.3,1.8,6.88,1.55,12.6,7,12.9,126,1.1,0.230448921,0.530628251,1.252762968,0.012,0.228942849
S61,13,7,Control,BIODYN,cont.D,11,3,CDBS3,Jul5,0-15cm,0.287,77.7,0.1,12.9,12.9,1.65,0.186,16.5,1.9,6.75,1.08,12.3,4.6,9,123,0.7,0.041392685,0.09531018,2.557227311,0.028,0.303658897
S62,14,7,Rainout,BIODYN,rain.D,11,3,RDBS3,Jul5,0-15cm,0.087,92,0.3,8.7,9,1.72,0.193,17.2,1.9,6.74,1.05,13.3,7,8.7,133,1.1,0.113943352,0.262364264,2.163323026,0.0142,0.242156491
S63,15,8,Control,CONMIN,cont.M,11,3,CMBS3,Jul5,0-15cm,0.294,77.3,1.8,4.2,6,1.26,0.14,12.6,1.4,5.88,1.03,14.7,4.4,8.5,147,0.7,0.447158031,1.029619417,1.435084525,0.0456,0.357263198
S64,16,8,Rainout,CONMIN,rain.M,11,3,RMBS3,Jul5,0-15cm,0.076,93,4.2,9.1,13.3,1.21,0.139,12.1,1.4,5.74,0.79,15.3,4,6.6,153,0.6,0.716003344,1.648658626,2.208274414,0.0154,0.248794193
S65,17,9,Control,CONFYM,cont.K,11,3,CKBS3,Jul5,0-15cm,0.278,78.2,1.5,12.2,13.7,1.37,0.155,13.7,1.6,6.04,1.48,11.8,7.9,12.3,118,1.2,0.397940009,0.916290732,2.501435952,0.05,0.36840315
S66,18,9,Rainout,CONFYM,rain.K,11,3,RKBS3,Jul5,0-15cm,0.084,92.3,6.4,17.6,24,1.45,0.165,14.5,1.7,6.03,1.48,11.4,12.5,12.3,114,1.9,0.86923172,2.00148,2.867898902,0.0896,0.447475577
S67,19,10,Control,CONFYM,cont.K,12,4,CKBS3,Jul5,0-15cm,0.259,79.4,0.6,10,10.5,1.46,0.163,14.6,1.6,6.24,0.96,11,7.9,8,110,1.2,0.204119983,0.470003629,2.302585093,0.0386,0.337957769
S68,20,10,Rainout,CONFYM,rain.K,12,4,RKBS3,Jul5,0-15cm,0.055,94.8,8.8,12.4,21.2,1.35,0.153,13.5,1.5,6.2,1.21,11,8.2,10,110,1.3,0.991226076,2.282382386,2.517696473,0.0506,0.369870907
S69,21,11,Control,BIODYN,cont.D,12,4,CDBS3,Jul5,0-15cm,0.294,77.3,0.1,18,18,1.89,0.215,18.9,2.2,6.77,0.98,17.9,5.1,8.1,179,0.8,0.041392685,0.09531018,2.890371758,0.0192,0.26777318
S70,22,11,Rainout,BIODYN,rain.D,12,4,RDBS3,Jul5,0-15cm,0.105,90.5,0,11.5,11.5,2.11,0.242,21.1,2.4,6.74,1.02,18.3,7.4,8.5,183,1.1,0,0,2.442347035,0.0732,0.418315246
S71,23,12,Control,CONMIN,cont.M,12,4,CMBS3,Jul5,0-15cm,0.296,77.1,0.5,8.6,9,1.69,0.199,16.9,2,6.05,0.59,19.8,6,4.9,198,0.9,0.176091259,0.405465108,2.151762203,0.0986,0.461982621
S72,24,12,Rainout,CONMIN,rain.M,12,4,RMBS3,Jul5,0-15cm,0.091,91.7,10.3,31.8,42,1.79,0.212,17.9,2.1,6.2,0.97,19.3,7.7,8.1,193,1.2,1.053078443,2.424802726,3.45946629,0.05625,0.383154716
