nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
55,7,4,control,K,BS,05/07/2022,cont.K,CKBS3,6.42E+03,3.70E+08,2.11,7.17E+03,4.13E+08,2.35,0.9,89.60824612,1.97E+03,1.13E+08,0.646,2.06E+02,1.19E+07,0.068,9.52,952.1431368,3.04E+05,1.75E+10
56,8,4,rainout,K,BS,05/07/2022,rain.K,RKBS3,5.20E+03,1.82E+08,1.11,5.72E+03,2.01E+08,1.22,0.91,90.8862564,2.20E+03,7.73E+07,0.47,2.55E+02,8.97E+06,0.054,8.62,861.9811882,4.69E+05,1.65E+10
57,9,5,control,M,BS,05/07/2022,cont.M,CMBS3,5.68E+03,2.03E+08,1.61,9.81E+03,3.51E+08,2.78,0.58,57.93048042,2.27E+03,8.13E+07,0.644,2.34E+02,8.36E+06,0.066,9.72,972.0430395,3.53E+05,1.26E+10
58,10,5,rainout,M,BS,05/07/2022,rain.M,RMBS3,5.71E+03,1.66E+08,1.89,6.97E+03,2.03E+08,2.31,0.82,81.9700123,1.74E+03,5.07E+07,0.577,2.32E+02,6.76E+06,0.077,7.5,750.1707432,3.02E+05,8.79E+09
59,11,6,control,D,BS,05/07/2022,cont.D,CDBS3,1.03E+04,4.89E+08,3.32,5.53E+03,2.64E+08,1.79,1.85,185.4865459,2.38E+03,1.13E+08,0.769,3.76E+02,1.79E+07,0.122,6.33,632.8532039,3.09E+05,1.47E+10
60,12,6,rainout,D,BS,05/07/2022,rain.D,RDBS3,1.23E+04,6.71E+08,3.53,7.24E+03,3.94E+08,2.07,1.7,170.158499,2.52E+03,1.37E+08,0.721,2.89E+02,1.57E+07,0.083,8.71,870.883089,3.49E+05,1.90E+10
61,13,7,control,D,BS,05/07/2022,cont.D,CDBS3,7.18E+03,3.86E+08,NA,5.28E+03,2.84E+08,NA,1.36,136.0758735,1.44E+03,7.72E+07,NA,1.79E+02,9.60E+06,NA,8.04,804.2120363,NA,NA
62,14,7,rainout,D,BS,05/07/2022,rain.D,RDBS3,8.84E+03,4.79E+08,1.51,8.45E+03,4.59E+08,1.45,1.05,104.5168828,1.24E+03,6.74E+07,0.212,4.47E+02,2.43E+07,0.076,2.78,277.7854728,5.84E+05,3.17E+10
63,15,8,control,M,BS,05/07/2022,cont.M,CMBS3,4.76E+03,1.28E+08,1.46,6.81E+03,1.84E+08,2.09,0.7,69.87920688,1.51E+03,4.07E+07,0.463,2.16E+02,5.82E+06,0.066,6.98,697.9376145,3.25E+05,8.78E+09
64,16,8,rainout,M,BS,05/07/2022,rain.M,RMBS3,3.36E+03,7.50E+07,1.31,5.57E+03,1.25E+08,2.17,0.6,60.23990463,1.07E+03,2.40E+07,0.418,1.68E+02,3.76E+06,0.066,6.38,637.7107955,2.56E+05,5.73E+09
