"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_17",3,0,0,0,0,0,0,16,39,24,0,24,0,0,41,21,58,7,2,0,0,26,6,3,4,11,0,12,8,13,27,62,33,0,0,0,0,40,46,43,19,22,40,0,0,9,0,4,0,0,0,15,4,0,69,21,59,0,0,0,0,35,23,31,56,8,9,0,0,9,5,22,0,0,18,19,7,10,49,34,39,0,9,0,0,0,38,25,35,5,27,0,0,9,7,10,2,0,0,17,7,18,10,111,30,0,0,0,0,11,64,11,34,0,13,2,0,13,8
"ASV_8",0,0,0,0,31,63,0,29,44,30,0,0,0,10,25,17,11,20,18,14,0,160,21,31,36,24,0,27,24,14,27,34,13,0,0,0,0,25,25,15,7,7,27,6,0,83,24,20,29,0,0,23,15,31,17,15,41,0,0,0,0,38,13,5,31,17,3,0,0,52,127,31,18,0,3,26,71,11,22,57,24,0,0,3,11,0,32,59,20,26,8,17,0,44,37,10,5,0,0,4,19,12,16,24,53,0,0,0,0,39,44,19,16,18,15,2,0,51,54
"ASV_110",0,0,0,0,0,44,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,18,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0
"ASV_12",34,0,0,0,72,63,39,22,69,175,0,13,0,19,18,26,28,23,18,32,0,36,10,31,10,11,0,16,37,9,6,23,14,0,0,0,0,83,22,47,48,13,8,11,0,60,12,10,7,0,0,15,33,8,21,12,28,0,0,0,0,22,14,19,13,11,5,0,0,25,11,11,4,0,6,57,20,10,37,69,33,0,0,0,0,0,28,26,49,58,11,7,0,6,6,0,19,0,0,59,70,0,71,97,127,0,0,0,0,74,21,31,25,3,38,1,0,49,40
"ASV_57",2,10,0,0,17,1,0,1,6,24,0,0,7,4,2,8,3,0,2,0,0,20,11,3,9,0,0,0,5,3,4,4,2,0,0,0,0,19,7,7,2,10,2,0,0,29,1,16,1,0,0,8,8,0,1,2,7,10,0,0,0,7,2,3,1,5,0,0,1,16,1,3,7,0,0,7,0,14,4,8,1,0,0,0,0,13,3,1,1,3,6,0,3,12,5,0,5,0,7,19,2,0,6,6,12,0,0,7,0,7,2,3,1,1,2,0,0,14,12
"ASV_85",0,0,0,0,7,0,0,11,17,0,0,0,0,9,2,19,11,0,0,0,0,5,0,3,4,0,0,0,0,1,2,5,4,0,0,0,0,3,3,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,19,2,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,5,7,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,5,10,0,6,2,8,0,0,0,0,4,1,5,2,2,3,0,0,3,0
"ASV_3",0,72,0,15,24,81,0,71,22,48,0,0,14,52,41,42,32,31,45,22,0,135,20,49,50,0,27,29,21,12,34,47,36,0,0,14,0,88,57,34,1,20,25,0,0,173,78,54,34,0,0,46,30,2,76,35,32,24,0,0,0,82,49,64,25,74,47,0,7,128,49,158,37,0,19,46,43,9,51,50,42,0,0,16,0,270,16,52,3,145,29,0,0,103,85,21,38,0,0,10,35,0,30,31,62,13,0,24,7,111,53,37,31,9,38,21,0,126,38
"ASV_33",12,0,0,0,0,0,0,0,1,7,0,0,0,0,10,16,16,1,5,0,0,12,2,4,3,0,0,7,18,0,6,6,10,0,18,0,0,11,16,9,1,13,12,0,0,16,25,9,0,0,0,14,8,0,12,4,11,0,0,0,0,28,9,6,4,6,1,0,4,38,1,57,0,0,5,10,8,0,11,18,13,0,0,18,0,35,11,11,1,3,23,0,0,25,11,0,3,0,4,6,7,6,0,21,14,0,0,0,0,15,25,0,6,3,8,14,0,34,14
"ASV_53",0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,7,10,0,0,12,0,11,0,0,0,0,0,9,3,0,8,0,0,0,0,8,0,0,0,5,0,0,0,11,22,5,0,0,0,0,0,0,18,0,4,17,0,8,3,14,0,0,0,0,0,0,0,20,0,15,0,0,0,2,0,5,0,15,8,0,0,0,0,10,0,0,0,0,6,0,0,29,0,0,3,0,0,0,0,0,0,19,7,0,0,0,0,27,4,6,6,5,5,0,0,23,11
"ASV_56",0,0,0,0,17,0,0,0,20,14,0,0,0,0,8,0,14,16,0,18,0,69,10,20,4,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,11,5,0,0,26,5,0,0,0,0,0,0,0,10,0,0,2,0,0,0,11,0,11,0,0,0,0,6,7,4,14,0,0,0,12,0,0,0,14,6,0,0,0,0,0,0,0,0,0,24,0,0,28,5,7,0,0,0,16,0,0,0,21,0,0,0,0,0,17,3,0,0,9,4,0,0,18,16
"ASV_153",0,0,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,1,0,0,0,0,0
