"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_10",0,0,0,39,0,0,0,17,0,0,0,0,43,0,64,48,21,18,7,19,0,0,0,0,0,0,0,24,29,45,27,14,0,0,13,38,25,0,0,39,0,24,14,33,0,0,0,15,38,11,0,25,0,36,26,31,15,31,0,23,49,0,57,30,43,29,25,32,0,0,0,0,0,0,22,28,26,0,19,24,18,26,12,0,24,0,38,0,0,65,14,71,0,0,0,18,0,12,37,19,0,28,0,8,0,27,0,16,29,10,0,25,0,20,6,11,10,53,0
"ASV_52",0,0,0,18,0,76,0,19,0,0,0,0,15,0,39,22,6,6,4,5,0,0,0,0,0,0,0,10,5,24,16,16,0,0,0,0,0,0,0,7,0,10,1,0,0,0,0,0,40,0,0,4,0,0,6,13,3,0,0,0,5,0,23,26,4,7,3,10,0,0,0,0,0,0,15,0,6,0,0,13,4,11,2,0,0,0,20,0,0,0,0,8,0,0,0,3,0,0,0,21,0,22,0,9,0,4,0,0,5,5,0,23,0,6,4,2,2,0,0
"ASV_169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,9,0,0,5,3,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,3,11,0,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,7,0
"ASV_188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,5,0,0,1,0,6,4,1,0,0,0,0,0,2,7,0,0,1,2,0,0,0,6,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,6,0,0,0,0,0,3,0,2,0,0
"ASV_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,16,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
"ASV_88",0,0,0,11,0,13,0,21,0,0,0,0,6,0,3,10,19,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,11,0,0,1,0,1,0,10,0,0,0,10,2,2,0,10,0,9,6,1,0,4,0,10,5,0,5,6,18,2,12,2,0,0,0,0,0,0,4,3,14,0,5,0,10,3,3,0,4,0,5,0,0,36,10,2,0,0,0,9,0,3,0,0,0,13,0,4,0,3,0,2,10,0,0,0,0,1,1,0,0,0,0
"ASV_217",0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,8,0,0,1,1,0,2,0,2,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0
"ASV_177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,7,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0
"ASV_124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,39,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
"ASV_211",0,0,20,0,0,0,0,0,0,0,35,12,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,6,0,0,0,4,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_168",0,15,39,1,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,0,2,2,3,0,2,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,1,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,6,6,0,6,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
"ASV_89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,2,3,0,11,0,0,0,2,0,0,0,7,0,9,0,0,0,0,1,0,5,0,6,0,0,0,3,4,0,0,0,0,0,0,7,11,0,0,3,0,0,8,5,0,0,0,10,6,0,0,0,0,1,4,0,0,0,0,2,5,9,1,0,5,0,5,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0
"ASV_6",0,47,57,42,0,0,0,0,0,0,43,26,37,0,0,11,0,21,0,149,85,20,113,93,38,0,0,0,40,0,0,0,19,0,69,46,0,0,0,12,0,17,0,89,42,0,45,25,58,0,0,0,0,0,0,10,14,0,64,39,35,0,27,8,0,0,0,74,16,28,14,27,30,9,28,0,0,0,0,22,7,35,26,32,19,0,20,0,0,0,0,82,50,39,51,51,28,51,99,18,0,26,0,6,0,21,0,44,37,0,0,0,0,33,0,23,39,39,38
"ASV_84",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,9,27,7,8,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,7,9,9,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,20,15,11,5,14,0,0,3,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,2,2,1,3
"ASV_156",0,0,0,4,0,13,0,3,0,0,0,0,12,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,3,0,0,2,6,0,1,0,0,0,0,0,0,0,5,7,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7,1,1,0,6,0,0,0,4,0,0,4,0,0,0,0,0,0,2,1,0,0
"ASV_46",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,38,0,0,48,0,0,0,0,0,0,0,0,0,26,14,8,0,0,0,0,0,0,0,0,2,0,18,20,0,5,0,0,0,29,0,0,0,25,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,0,0,0,3,0,0,0,0,0,1,19,0,7,10,23,0,24,3
"ASV_67",0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,15,0,0,26,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,6,0,15,6,0,0,0,0,0,8,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,5,0,0,8,4,26,0,10,0
"ASV_158",0,0,0,9,0,0,0,10,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,1,0,0,2,0,8,5,0,0,0,0,0,0,0,7,4,5,0,7,1,0,0,0,0,0,0,0,3,0,0,4,8,0,0,1,0,0,0,6,0,0,8,0,0,0,0,0,0,0,10,0,0,0,1,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"ASV_102",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,4,0,0,5,0,0,0,0,0,0,0,0,0,9,4,6,0,0,0,0,0,0,0,0,9,0,2,2,0,0,0,0,0,10,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,0,6,0
"ASV_42",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,76,0,0,73,0,0,0,0,0,0,0,0,0,34,11,33,0,0,0,19,0,0,0,0,11,0,33,14,0,0,0,0,0,37,0,0,0,40,0,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,0,0,0,5,0,0,0,0,0,0,14,0,21,18,6,0,12,7
"ASV_116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,26,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,8,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,9,1,19,0,0,0
"ASV_198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"ASV_139",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,13,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0
"ASV_443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV_140",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,1,0,0,1,3
"ASV_100",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,10,0,0,7,0,0,0,0,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,23,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,3,0,0,5,0,0,0,4
"ASV_131",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0
"ASV_96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
"ASV_232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
