ASVid;Domain;Genus;Clade;Species
ASV_571;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_573;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_574;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_580;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_582;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_587;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_606;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_613;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_617;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_622;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_630;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_631;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_635;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_638;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_639;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_641;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_645;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_646;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_650;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_651;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_657;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_658;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_660;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_666;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_669;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_682;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_685;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_689;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_695;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_696;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_698;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_701;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_707;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_709;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_710;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_717;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_724;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_727;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_730;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_732;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_737;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_738;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_741;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_744;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_746;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_748;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_752;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_753;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_757;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_758;Bacteria;Nitrospira;Clade A;Nitrospira-sp.YR-XLJ2
ASV_762;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_775;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_781;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_783;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_786;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_789;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_800;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_808;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_810;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_815;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_820;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_821;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_828;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_831;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_840;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_853;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
